# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
1.863130 1.743350 3.681050 29.988001 0.754500 0.000000 8 1 62
1.862700 1.743770 3.679570 30.492001 0.754500 0.000000 8 1 62
1.860900 1.744920 3.674600 30.996002 0.754500 0.000000 8 1 62
1.858600 1.746110 3.669400 31.500002 0.754500 0.000000 8 1 62
1.857760 1.746510 3.667940 32.004002 0.754500 0.000000 8 1 62
1.855500 1.747740 3.662450 32.507999 0.754500 0.000000 8 1 62
1.855040 1.748050 3.660560 33.012001 0.754500 0.000000 8 1 62
1.852890 1.748990 3.653900 33.515999 0.754500 0.000000 8 1 62
1.850690 1.750000 3.647490 34.020000 0.754500 0.000000 8 1 62
1.849710 1.750500 3.645550 34.523998 0.754500 0.000000 8 1 62
1.846140 1.752170 3.640480 35.028000 0.754500 0.000000 8 1 62
1.842230 1.754000 3.636580 35.531998 0.754500 0.000000 8 1 62
1.840820 1.754690 3.635460 36.035999 0.754500 0.000000 8 1 62
1.836360 1.756620 3.631580 36.540001 0.754500 0.000000 8 1 62
1.835040 1.757140 3.630360 37.043999 0.754500 0.000000 8 1 62
1.831990 1.758660 3.625970 37.548000 0.754500 0.000000 8 1 62
1.832140 1.759840 3.623060 38.051998 0.754500 0.000000 8 1 62
1.832960 1.760130 3.622660 38.556000 0.754500 0.000000 8 1 62
1.834420 1.761210 3.622430 39.060001 0.754500 0.000000 8 1 62
1.836180 1.761510 3.623690 39.563999 0.754500 0.000000 8 1 62
1.836280 1.761560 3.623950 40.068001 0.754500 0.000000 8 1 62
1.836110 1.761720 3.624600 40.571999 0.754500 0.000000 8 1 62
1.835890 1.761850 3.624510 41.076000 0.754500 0.000000 8 1 62
1.832790 1.763430 3.622450 41.579998 0.754500 0.000000 8 1 62
1.829180 1.765630 3.619710 42.084000 0.754500 0.000000 8 1 62
1.827980 1.766410 3.619030 42.588001 0.754500 0.000000 8 1 62
1.823950 1.768740 3.617700 43.091999 0.754500 0.000000 8 1 62
1.820110 1.771150 3.618040 43.596001 0.754500 0.000000 8 1 62
1.818850 1.771990 3.618710 44.099998 0.754500 0.000000 8 1 62
1.816310 1.774800 3.622580 44.604000 0.754500 0.000000 8 1 62
1.816350 1.776470 3.628990 45.107998 0.754500 0.000000 8 1 62
1.816420 1.776480 3.631060 45.612000 0.754500 0.000000 8 1 62
1.818650 1.775510 3.637180 46.116001 0.754500 0.000000 8 1 62
1.819700 1.774940 3.638730 46.619999 0.754500 0.000000 8 1 62
1.821580 1.773490 3.642730 47.124001 0.754500 0.000000 8 1 62
1.822210 1.772780 3.645180 47.627998 0.754500 0.000000 8 1 62
1.822050 1.772860 3.645610 48.132000 0.754500 0.000000 8 1 62
1.821280 1.773670 3.646820 48.636002 0.754500 0.000000 8 1 62
1.820430 1.774880 3.647510 49.139999 0.754500 0.000000 8 1 62
1.820070 1.775330 3.647560 49.644001 0.754500 0.000000 8 1 62
1.818740 1.776180 3.645390 50.147999 0.754500 0.000000 8 1 62
1.818200 1.776300 3.643710 50.652000 0.754500 0.000000 8 1 62
1.815350 1.777000 3.634560 51.155998 0.754500 0.000000 8 1 62
1.811520 1.778250 3.621090 51.660000 0.754500 0.000000 8 1 62
1.810460 1.778140 3.596540 52.164001 0.754500 0.000000 8 1 62
1.805580 1.780490 3.583790 52.667999 0.754500 0.000000 8 1 62
1.801750 1.782670 3.572240 53.172001 0.754500 0.000000 8 1 62
1.800220 1.784290 3.586140 53.675999 0.754500 0.000000 8 1 62
1.798030 1.786210 3.579410 54.180000 0.754500 0.000000 8 1 62
1.797800 1.786630 3.578130 54.683998 0.754500 0.000000 8 1 62
1.798090 1.787900 3.578880 55.188000 0.754500 0.000000 8 1 62
1.800100 1.788240 3.585360 55.692001 0.754500 0.000000 8 1 62
1.801150 1.788090 3.588910 56.195999 0.754500 0.000000 8 1 62
1.803690 1.788000 3.600010 56.700001 0.754500 0.000000 8 1 62
1.805840 1.788080 3.610610 57.203999 0.754500 0.000000 8 1 62
1.806200 1.788230 3.613400 57.708000 0.754500 0.000000 8 1 62
1.807600 1.788410 3.620920 58.211998 0.754500 0.000000 8 1 62
1.809340 1.788190 3.627800 58.716000 0.754500 0.000000 8 1 62
1.809710 1.788270 3.629140 59.220001 0.754500 0.000000 8 1 62
1.810940 1.788510 3.634740 59.723999 0.754500 0.000000 8 1 62
1.811270 1.788670 3.636350 60.228001 0.754500 0.000000 8 1 62
1.812280 1.789960 3.642260 60.731998 0.754500 0.000000 8 1 62
1.814290 1.791590 3.649220 61.236000 0.754500 0.000000 8 1 62
1.815030 1.792230 3.651610 61.740002 0.754500 0.000000 8 1 62
1.817080 1.793390 3.658500 62.243999 0.754500 0.000000 8 1 62
1.818460 1.793400 3.662960 62.748001 0.754500 0.000000 8 1 62
1.818510 1.793340 3.663460 63.251999 0.754500 0.000000 8 1 62
1.818650 1.793110 3.663710 63.756001 0.754500 0.000000 8 1 62
1.818640 1.793070 3.663260 64.260002 0.754500 0.000000 8 1 62
1.819090 1.793830 3.661190 64.764000 0.754500 0.000000 8 1 62
1.819530 1.795870 3.658530 65.267998 0.754500 0.000000 8 1 62
1.819490 1.796940 3.657830 65.772003 0.754500 0.000000 8 1 62
1.819050 1.799310 3.655330 66.276001 0.754500 0.000000 8 1 62
1.818580 1.800230 3.652310 66.779999 0.754500 0.000000 8 1 62
1.818370 1.800270 3.651310 67.283997 0.754500 0.000000 8 1 62
1.817210 1.800850 3.648360 67.788002 0.754500 0.000000 8 1 62
1.816830 1.801120 3.647540 68.292000 0.754500 0.000000 8 1 62
1.814890 1.802670 3.645440 68.795998 0.754500 0.000000 8 1 62
1.813570 1.804190 3.643870 69.300003 0.754500 0.000000 8 1 62
1.813330 1.804640 3.643420 69.804001 0.754500 0.000000 8 1 62
1.812530 1.806160 3.642410 70.307999 0.754500 0.000000 8 1 62
1.811990 1.807550 3.641400 70.811996 0.754500 0.000000 8 1 62
1.811760 1.807950 3.641090 71.316002 0.754500 0.000000 8 1 62
